Part,Description,Digikey Part Num,Quantity on Board,Order,Unit Cost,Total Cost
C1,100 uF Electrolytic Cap,732-8598-1-ND,1,2,$0.10 ,$0.20 
C2,47 uF Ceramic Cap,587-1780-1-ND,1,2,$0.70 ,$1.40 
"C3, C4, C5, C6",1uF Ceramic Cap,1276-1182-1-ND,4,6,$0.10 ,$0.60 
"D1, D2, D3",Signal Diodes,BAS16HT1GOSCT-ND,3,4,$0.14 ,$0.56 
D4,Power diode,478-7798-1-ND,1,2,$0.44 ,$0.88 
F1,1.5 A fuse,507-1773-1-ND,1,2,$0.21 ,$0.42 
LED1,Green SMD LED,160-1446-1-ND,1,2,$0.29 ,$0.58 
Q1,N MOSFET,NTR4003NT1GOSCT-ND,1,2,$0.30 ,$0.60 
"R1, R2",10K 0603 Resistor,TNP10.0KAACT-ND,2,,, $-   
"R3, R4, R6",1K 0603 Resistor,541-3991-1-ND,3,10,$0.02 ,$0.22 
R5,470 0603 Resistor,A130089CT-ND,1,3,$0.10 ,$0.30 
R7,100 0603 Resistor,RR08P100DCT-ND,1,3,$0.11 ,$0.33 
S1,Reset Button,401-1426-1-ND,1,2,$0.52 ,$1.04 
U1,IC BUFFER NON-INVERT 5.5V USV,TC7SZ125FULJ(CTCT-ND,1,2,$0.35 ,$0.70 
U2,5V REG,NCP59151DS50R4GOSCT-ND,1,2,$1.88 ,$3.76 
U2,Linear Voltage Regulator IC Positive Fixed 1 Output 1.5A,NCP59151DS50R4GOSCT-ND,1,2,$1.88 ,$3.76 
U3,Inverter IC 1 Channel SC-70-5,NC7SZ04P5XCT-ND,1,2,$0.36 ,$0.72 
,,,,,,$16.07 